ace
All-nighter
Are you kidding me
B-Ball
Bomb
Have the Blues
Bro
Buck
By the skin of your teeth
Cash 
Cashback
Cheesy
Chill
Come on
Cool
Cop
Couch Potato
Cram
Crash
DC
im dead
Hang out
Hip
Hit the books
Hit the road
Hold your horses
Hyped
I feel you
In no time
It is what it is
Jacked
Jonesing
Lemon
Lighten up
LOL
My Bad
No problem
OMG
On the hour
Once in a blue moon
Piece of cake
Put up a front
R.S.V.P
Recap
Ride shotgun
Rip-off
Score
Screw up
See ya
Shoot the breeze
Snagged
Spill the beans
Take a rain-check
Take for granted
That hit the spot
The bomb
Trash
Twenty four seven
UCard
What’s up
Wicked
Wrap up
You bet
You can say that again
You're telling me
All-nighter
Adorbs
Awesome
Blow
Booty
Benjamins
Being broke
Being busted
Cheap shot
chick
Cold fish
Crash
Cut a rug
Dough
Dork
Dope
Drag
Dynamite
Easy mark
Eating away at
Eying someone
Far out
Flaky
Flip out
Freaking out
Fly
Glitch
Greens
Gross
Grub
Grungy
Guts
Hardware
Hick
High
Hang ups
In the bag
In the doghouse
In
Jerk
Klutz
Knocked up
Knockout
Legit
Loser
Loosen up
Maxed out
Megabucks
Mooch off
Nerd
No way
off the grid
Oops
Photobomb
Pig out
Psyched
Player
Pop quiz
Psycho
Punk
Ream someone out
Riot
Rip off
Ride
Rinky-dink
Rug rats
Rocks
Scarf down
Schmuck
Selfie
Slammer
Shot down
Square
Sucker
Tacky
Trash
Veg out
Whacko
Wheels
Wuss
Yuck
YOLO
Zonked
Zip
I'm feeling blue
I'll be there in no time
Tell me about it
Way to go
Go take a hike
I'm really into
Gimme a break
Cut it out
We'll have a blast
Suck it up
ADDY
ADMIN
AMIIC
AND
AFAIK
AH
AIGHT
AISB
AKA
LOL
APP
ASAP
A/S/L
ATB
AYDY
AYS
AYT
B2W
B4
BAE
BAK
BAMF
BAU
BBL
BBS
BC
BCNU
BD
BDAY
BFF
BFD
BFN
BIF
BLNT
BOL
BR
BRB
BRT
BTDT
BTW
BYOB
BYOC
BYOD
BYTM
CHK
CID
CLD
CLK
CMON
COB
CRAY
CRE8
CU
DBEYR
DERP
DGT
DILLIGAS
DIY
DKDC
DL
DM
DQMOT
DUPE
EAK
EOBD
EOD
EOM
EZ
F2F
FAF
FAQ
FB
FBM
FBOW
FF
FIMH
FOAF
FOMO
FRT
FTBOMH
FTL
FTW
FUBAR
FWB
FWIW
FWM
FYA
FYEO/4YEO
FYI
G2CU
G2G
GB
GB2W
GD
GFI
GL
GOI
GR8
GRATZ
H8
HAK/H&K
HAND
H-BDAY
HRU
HW
IAE
IC
ICBW
ICYMI
IDC
IDGAF
IDK
IFYP
IGN
ILY/ILU
IM
IMHO
IMO
IMS
IMU
IRL
ISO
ITYK
IYKWIM
IYSS
JIC
JK
JW
K
KK
KEWL
L8R
LIC
LMAO
LMFAO
LMK
LOL
LOTI
LTD
LTNS
LULZ
LYSM
MEH
MHOTY
MKAY
MSG
MYOB
N00b
N2M
NBD
NGL
NFS
NFW
NIMBY
NLT
NM
NMU
NOYB
NP
NSFW
NVM
NOW
OBV
OH
OG
OIC
OMDB
OMFG
OMG
OMW
OP
OS
OT
OTB
OTFL
OYO
PDA
PEBCAK
PITA
PLS
PM
POV
PPL
PROLLY
PRT
PTFO
PTL
PTMM
PWN
Q4U
QOTD
QQ
R
RBTL
RLY
ROFL
ROFLCOPTER
ROFLMAO
RT
RTM
RTFM
SH
SH^
SITD
SK8
SLAP
SMH
SNAFU
SOB
SOL
SRSLY
SRY
STBY
STFU
STR8
SUP
SUX
SYL
SYS
TBD
TBH
TBT
TCB
TFTF
TGIF
THX
TIL
TL
TLC
TL;DR
TMB
TMI
TMOT
TWSS
TTYL
TTYS
TYT
TYSO
UFB
UFN
UOK
VM
VRY
WAH
WAYF
WBU
W/E
WH5
WDYK
WDYT
WRK
WTF
WTG
WYSIWYG
WYD
WYGAM
WYWH
XOXO
YHBW
YNK
